Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Genres,Duration(min)
Izenzo,Izenzo,"Bassie, Aymos, T-Man SA",25/08/2023,414966,50,"amapiano, gqom",6.92
Mangihlale (feat. Lwami),Mangihlale (feat. Lwami),"Casswell P, Master KG, Lwami",14/04/2023,270729,37,"amapiano, gqom, afro soul, afropop, afrobeats",4.51
Took My Heart,Took My Heart,00ab,27/10/2023,172500,10,alté,2.88
Fine By Myself,Fine By Myself,Odeal,10/11/2023,163298,31,"afroswing, alté, afrobeats, afrobeat, afro soul",2.72
Butterflies,TYLA,Tyla,01/12/2023,162764,43,afrobeats,2.71
Eating out,Eating out,"Pip Millett, Rae Khalil",18/01/2024,173369,35,"alternative r&b, neo soul",2.89
Chop & Slide,Outlaw,Victony,06/05/2022,168667,40,"afrobeats, afrobeat, afropop, alté, afro soul, amapiano",2.81
Saturn,Saturn,SZA,22/02/2024,186191,79,r&b,3.1
IS IT YOU?,IS IT YOU? / MYSTERIOUS LOVE,CKay,26/01/2024,183652,30,"afrobeats, afrobeat, afropop",3.06
MYSTERIOUS LOVE,IS IT YOU? / MYSTERIOUS LOVE,CKay,26/01/2024,152920,34,"afrobeats, afrobeat, afropop",2.55
we can't be friends (wait for your love),eternal sunshine,Ariana Grande,08/03/2024,228639,84,pop,3.81
by now,Sad Romance,CKay,23/09/2022,164121,58,"afrobeats, afrobeat, afropop",2.74
MONEY AND VIBES,MONEY AND VIBES,Nemzzz,19/10/2023,122253,55,"uk drill, drill",2.04
No.1 (feat. Tems),No.1 (feat. Tems),"Tyla, Tems",20/03/2024,147046,41,"afrobeats, alté, afrobeat, afropop",2.45
Happiness (feat. Asake & Gunna),Happiness (feat. Asake & Gunna),"Sarz, Asake, Gunna",07/12/2023,174743,64,"afrobeats, afrobeat, alté, afropop, amapiano, afro adura, afroswing, melodic rap",2.91
Down,Down,"Chop Daily, Soundz",15/10/2021,158000,52,"afrobeats, afrobeat, afroswing, afropop, azonto, afro soul",2.63
Intimidated (feat. H.E.R.),Intimidated,"KAYTRANADA, H.E.R.",19/11/2021,207840,67,r&b,3.46
Kolomental,Outlaw,Victony,06/05/2022,197000,48,"afrobeats, afrobeat, afropop, alté, afro soul, amapiano",3.28
Loving You - Sped Up,Loving You (Sped Up),Welmz,14/04/2023,119002,0,"afrobeats, afrobeat",1.98
"To Summer, From Cole - Audio Hug",CLEAR 2: SOFT LIFE EP,"Summer Walker, J. Cole",19/05/2023,147666,65,"r&b, rap",2.46
Show U Off,Show U Off,Brent Faiyaz,12/03/2021,251132,47,r&b,4.19
Truth or Dare,TYLA,Tyla,01/12/2023,190392,64,afrobeats,3.17
TWIST & TURN (feat. Drake & PARTYNEXTDOOR),FIXTAPE,"Popcaan, Drake, PARTYNEXTDOOR",07/08/2020,259651,57,"dancehall, soca, afrobeats, reggae, riddim, ragga, rap, hip hop, r&b",4.33
Pound Town (and Tay Keith),Pound Town (and Tay Keith),"Sexyy Red, Tay Keith",27/01/2023,129429,51,memphis rap,2.16
Kiss Me Like You Miss Me,Kiss Me Like You Miss Me,"CKay, Payal Dev",20/08/2021,251086,14,"afrobeats, afrobeat, afropop, bhajan, devotional, bollywood, hindi pop, desi pop, desi",4.18
Thatheka,Thatheka,"Drizzy Sam Rsa, Kaymor, OHP Sage",05/11/2021,312798,28,"amapiano, gqom",5.21
Osadebe,Osadebe,Joeboy,16/02/2024,156756,47,"afrobeats, afrobeat, afropop, afro soul, hiplife, afroswing, alté",2.61
Remember,Work Of Art,Asake,15/06/2023,182142,66,"afrobeats, afrobeat, afro adura, afropop, amapiano, afroswing",3.04
Love Me JeJe,Love Me JeJe,Tems,25/04/2024,178041,64,"afrobeats, alté, afrobeat, afropop",2.97
Roze (forgive),Actual Life 2 (February 2 - October 15 2021),"Fred again.., I Am Roze",19/11/2021,229000,54,"stutter house, house",3.82
UNAVAILABLE (feat. Musa Keys),Timeless,"Davido, Musa Keys",30/03/2023,169911,65,"afrobeats, afrobeat, afropop, azonto, amapiano, hiplife, afroswing, gqom",2.83
i'm a mess,Boy Alone,Omah Lay,14/07/2022,153946,60,"afrobeats, afrobeat, afropop, afro soul, alté, afroswing",2.57
DIFFERENT,NOIRE,Avenoir,08/12/2023,155586,56,alternative r&b,2.59
Hours In Silence,Her Loss,"Drake, 21 Savage",04/11/2022,399153,70,"rap, hip hop",6.65
Favourite Girl,Favourite Girl,"Darkoo, Dess Dior",02/05/2024,156000,63,"afrobeats, afroswing, uk drill, afrobeat",2.6
Miss Romantic,Heaven,Cleo Sol,15/09/2023,201017,48,"neo soul, alternative r&b",3.35
Nuttin New,Poor Little Rich Kid,BERNA,02/10/2020,216571,39,"grime, uk drill, drill",3.61
Bad Vibes (feat. Seyi Vibez),Bad Vibes,"Ayra Starr, Seyi Vibez",09/05/2024,168406,58,"afrobeats, afrobeat, afropop, afro soul, afro adura, amapiano",2.81
N o C h i l l,PARTYNEXTDOOR 4 (P4),PARTYNEXTDOOR,26/04/2024,265373,75,r&b,4.42
Collateral Damage,African Giant,Burna Boy,25/07/2019,197558,49,"afrobeats, afrobeat, afropop, afroswing, dancehall",3.29
Wickedest,Born in the Wild,Tems,06/06/2024,156763,61,"afrobeats, alté, afrobeat, afropop",2.61
Forever,Born in the Wild,Tems,06/06/2024,196426,44,"afrobeats, alté, afrobeat, afropop",3.27
Free Fall (feat. J. Cole),Born in the Wild,"Tems, J. Cole",06/06/2024,192065,61,"afrobeats, alté, afrobeat, afropop, rap",3.2
Burning,Born in the Wild,Tems,06/06/2024,175237,65,"afrobeats, alté, afrobeat, afropop",2.92
Yemasa (Sped Up),Yemasa (Sped Up),"M'kido, Chinko Ekun",15/08/2022,69358,21,"afrobeats, afro adura, afrobeat, afropop, azonto",1.16
Move,Move,"Adam Port, Stryv, Keinemusik, Orso, Malachiii",07/06/2024,177598,81,"afro house, melodic house, house",2.96
Best Interest,Best Interest,"Juls, JayO",07/06/2024,198000,31,"alté, afrobeats, afrobeat, afroswing, afropop, afro soul, azonto",3.3
HOT UPTOWN (feat. Drake),"C,XOXO","Camila Cabello, Drake",28/06/2024,150746,54,"pop, rap, hip hop",2.51
Get it Right (feat. Asake),Born in the Wild,"Tems, Asake",06/06/2024,199452,59,"afrobeats, alté, afrobeat, afropop, afro adura, amapiano, afroswing",3.32
Soh-Soh,Sunday At Zuri's,Odeal,05/07/2024,184552,36,"afroswing, alté, afrobeats, afrobeat, afro soul",3.08
ONOME,Sunday At Zuri's,Odeal,05/07/2024,198545,11,"afroswing, alté, afrobeats, afrobeat, afro soul",3.31
Did It First (with Central Cee),Did It First (with Central Cee),"Ice Spice, Central Cee",11/07/2024,118002,68,"uk drill, drill, grime",1.97
Higher (C'est la vie),243,Highlyy,25/01/2024,207081,18,"afrobeats, afroswing, afrobeat",3.45
Higher (C'est la vie) - Acoustic,Higher (C'est la vie) [Acoustic],Highlyy,13/12/2023,222345,9,"afrobeats, afroswing, afrobeat",3.71
Heavy,CINEMA,The Marías,25/06/2021,253213,78,bedroom pop,4.22
come closer,Boy Alone (Deluxe),Omah Lay,15/06/2023,155789,0,"afrobeats, afrobeat, afropop, afro soul, alté, afroswing",2.6
OHEMA (with Crayon & Bella Shmurda),OHEMA (with Crayon & Bella Shmurda),"Victony, Crayon, Bella Shmurda",21/11/2023,205714,60,"afrobeats, afrobeat, afropop, alté, afro soul, amapiano, afro adura",3.43
Take Me,Take Me,"Nippa, Odeal",25/07/2024,148467,44,"afroswing, alté, afrobeats, afrobeat, afro soul",2.47
Suns Out,Suns Out,JayO,01/08/2024,151788,46,"afrobeats, afroswing, alté, afrobeat",2.53
one of wun,One of Wun,Gunna,10/05/2024,144000,79,melodic rap,2.4
Higher,Higher,Burna Boy,27/06/2024,137631,59,"afrobeats, afrobeat, afropop, afroswing, dancehall",2.29
guidance,guidance,Jhené Aiko,30/07/2024,215198,49,r&b,3.59
Please Don't Be,Bloom Mountain,Hazlett,13/01/2023,175201,63,indie folk,2.92
Nice to meet you (feat. Central Cee),Heaven knows,"PinkPantheress, Central Cee",10/11/2023,162413,56,"bedroom pop, uk drill, drill, grime",2.71
Ready For You (feat. Celeste),Ready For You (feat. Celeste),"Black Coffee, Celeste",17/09/2020,268886,0,"afro house, house",4.48
Peace Be Unto You (PBUY),Mr. Money With The Vibe,Asake,07/09/2022,153103,56,"afrobeats, afrobeat, afro adura, afropop, amapiano, afroswing",2.55
I Want You Around,#NAME?,Snoh Aalegra,16/08/2019,212787,62,"alternative r&b, neo soul",3.55
Desire,Desire,"Limoblaze, Emandiong",19/08/2022,204521,46,"african gospel, gospel r&b, gospel, christian hip hop, afrobeat, christian pop, afrobeats, christian, pop worship",3.41
Girlfriend,The Second Wave (Deluxe),Ruger,17/06/2022,196800,62,"afrobeats, afrobeat, afropop, afroswing, afro soul",3.28
Reset (feat. Crayon & Bella Shmurda),Reset (feat. Crayon & Bella Shmurda),"JayO, Crayon, Bella Shmurda",09/05/2024,163271,34,"afrobeats, afroswing, alté, afrobeat, afropop, afro adura, afro soul",2.72
Sondela,Sunday At Zuri's,Odeal,05/07/2024,107223,19,"afroswing, alté, afrobeats, afrobeat, afro soul",1.79
Somedays,Somedays,"Sonny Fodera, Jazzy, D.O.D",26/07/2024,207168,77,"house, piano house, tech house, electro house",3.45
we can't be friends (wait for your love) - acoustic (live from jungle city studios),we can't be friends (wait for your love) [acoustic (live from jungle city studios)],Ariana Grande,08/09/2024,187781,55,pop,3.13
Gaslight 101,Gaslight 101,Odeal,15/03/2024,179036,56,"afroswing, alté, afrobeats, afrobeat, afro soul",2.98
Free Me,Sunday At Zuri's,Odeal,05/07/2024,200030,21,"afroswing, alté, afrobeats, afrobeat, afro soul",3.33
Active,Lungu Boy,"Asake, Travis Scott",08/08/2024,172597,63,"afrobeats, afrobeat, afro adura, afropop, amapiano, afroswing, rap",2.88
Moving,Moving,Omah Lay,22/08/2024,140367,61,"afrobeats, afrobeat, afropop, afro soul, alté, afroswing",2.34
Free Fallin',Free Fallin',Amaria,11/10/2024,137922,43,"alternative r&b, neo soul",2.3
One Call,One Call,"SPINALL, Omah Lay, Tyla",19/07/2024,158712,62,"afrobeats, afrobeat, afropop, alté, afroswing, azonto, afro soul",2.65
Piece of My Heart (feat. Brent Faiyaz),Piece of My Heart (feat. Brent Faiyaz),"Wizkid, Brent Faiyaz",18/10/2024,259354,63,"afrobeats, afrobeat, afropop, azonto, afroswing, dancehall, r&b",4.32
Lagos Love Story,The Year I Turned 21,Ayra Starr,30/05/2024,155695,43,"afrobeats, afrobeat, afropop, afro soul",2.59
Right Now,Right Now,"Darkoo, Davido, Rvssian",10/10/2024,170666,57,"afrobeats, afroswing, uk drill, afrobeat, afropop, azonto, amapiano, hiplife, trap latino",2.84
FWM (Smi.le remix),FWM (Smi.le remix),"Smi.le, alan vuong",15/04/2024,119554,52,jersey club,1.99
Circadian Rhythm,100 GIGS,Drake,30/08/2024,126356,76,"rap, hip hop",2.11
These Are The Good Days,Uplifting Pop,"KHALI, Lewis Amoroso",01/05/2023,180394,8,jersey club,3.01
Blame U,Lustropolis,Odeal,15/11/2024,169000,56,"afroswing, alté, afrobeats, afrobeat, afro soul",2.82
You're Stuck (feat. Summer Walker),Lustropolis,"Odeal, Summer Walker",15/11/2024,244000,52,"afroswing, alté, afrobeats, afrobeat, afro soul, r&b",4.07
Awolowo,Awolowo,Fido,07/08/2024,135576,69,"afro adura, afrobeats, afrobeat, afropop",2.26
SHOWBIZ,Lustropolis,Odeal,15/11/2024,168312,50,"afroswing, alté, afrobeats, afrobeat, afro soul",2.81
Tried Our Best,For All The Dogs,Drake,06/10/2023,209990,64,"rap, hip hop",3.5
I Need Faith,I Need Faith,Alex Jean,28/05/2024,134769,47,"christian hip hop, gospel r&b, christian, christian pop",2.25
Piano,Piano,"Gabzy, Lekaa Beats",22/02/2024,156004,37,"afrobeats, afroswing, alté, afrobeat, afropop, afro soul, afro adura",2.6
6AM Thoughts (with Cash Cobain & Bay Swag),6AM Thoughts,"NAV, Bay Swag, Cash Cobain",02/08/2024,200933,47,"melodic rap, jersey club",3.35
Commas,The Year I Turned 21,Ayra Starr,30/05/2024,157089,68,"afrobeats, afrobeat, afropop, afro soul",2.62
I Believe,Work Of Art,Asake,15/06/2023,145263,54,"afrobeats, afrobeat, afro adura, afropop, amapiano, afroswing",2.42
ATTITUDE (FEAT. CHARLIE WILSON & CASH COBAIN),HARDSTONE PSYCHO,"Don Toliver, Charlie Wilson, Cash Cobain",14/06/2024,161053,62,jersey club,2.68
Drive,SOS Deluxe: LANA,SZA,20/12/2024,185132,74,r&b,3.09
MET GALA,WUNNA,Gunna,22/05/2020,149133,63,melodic rap,2.49
No One Noticed,Submarine,The Marías,31/05/2024,236906,85,bedroom pop,3.95
Diamond Boy (DTM),SOS Deluxe: LANA,SZA,20/12/2024,217523,73,r&b,3.63
I Do - Vandelux Remix,I Do (Vandelux Remix),"DRAMA, Vandelux",28/07/2022,196558,54,"stutter house, chill house",3.28
Everything,Stubborn,Victony,21/06/2024,166958,62,"afrobeats, afrobeat, afropop, alté, afro soul, amapiano",2.78
BMF,SOS Deluxe: LANA,SZA,20/12/2024,180746,87,r&b,3.01
Chill Baby,SOS Deluxe: LANA,SZA,20/12/2024,140637,73,r&b,2.34
Hold On,Born in the Wild,Tems,06/06/2024,245410,46,"afrobeats, alté, afrobeat, afropop",4.09
Don't Play With Me,Round 1,Gabzy,11/11/2024,188081,42,"afrobeats, afroswing, alté, afrobeat, afropop, afro soul",3.13
Something Stronger,Something Stronger,"Rules, SHYA, Coldabank",17/03/2023,127530,63,"chill house, deep house",2.13
Sunshine,Sunshine,Lavern,07/01/2022,142674,66,stutter house,2.38
"We Need Hugs, Too.","We Need Hugs, Too.",Mamadou.,02/10/2024,149268,38,spoken word,2.49
Ngozi,Trench to Triumph,"Crayon, Ayra Starr",21/07/2023,221217,62,"afrobeats, afrobeat, afropop, afro soul",3.69
Summer Nights,Round 1,"Gabzy, melvitto",11/11/2024,262547,40,"afrobeats, afroswing, alté, afrobeat, afropop, afro soul",4.38
The Hardest Part,Messy,Olivia Dean,30/06/2023,176048,68,pop soul,2.93
Dive,Messy,Olivia Dean,30/06/2023,200759,72,pop soul,3.35
Favourite Girl (with Rema),Favourite Girl (with Rema),"Darkoo, Rema",08/08/2024,184800,55,"afrobeats, afroswing, uk drill, afrobeat, afropop",3.08
Omo To Sexy,Omo To Sexy,BLNDE,11/01/2025,167447,46,"alté, afrobeats",2.79
Fall In Love (feat. Ayo Jay),Fall In Love (feat. Ayo Jay),"melvitto, Ayo Jay",13/12/2024,205238,52,"afrobeats, alté, afrobeat, afroswing, afropop, afro soul, dancehall, soca, azonto",3.42
All The Stars (with SZA),Black Panther The Album Music From And Inspired By,"Kendrick Lamar, SZA",09/02/2018,232186,90,"hip hop, west coast hip hop, r&b",3.87
Prettier,Sorry I'm Late,JAY1,22/08/2024,177730,50,"grime, uk drill, drill",2.96
Rhythm & Blues,The Year I Turned 21,Ayra Starr,30/05/2024,143429,52,"afrobeats, afrobeat, afropop, afro soul",2.39
Boy O Boy,Born in the Wild,Tems,06/06/2024,172493,47,"afrobeats, alté, afrobeat, afropop",2.87
PIMMIE'S DILEMMA,$ome $exy $ongs 4 U,"Pimmie, PARTYNEXTDOOR, Drake",14/02/2025,118153,75,"r&b, rap, hip hop",1.97
